"","group","pseudotime_bin_num","features","value","Geno","new_group"
"122","Kbk.3m.DCF",18,"stage1_DAM1",1.45644761864439,"Kbk","Kbk.3m
(HPBCD)"
"123","Kbk.3m.DCF",18,"stage2_DAM2",0.487253916769608,"Kbk","Kbk.3m
(HPBCD)"
"124","Kbk.3m.DCF",19,"homeostatic3",2.90264348502484,"Kbk","Kbk.3m
(HPBCD)"
"125","Kbk.3m.DCF",19,"stage1_DAM1",1.38773910018263,"Kbk","Kbk.3m
(HPBCD)"
"126","Kbk.3m.DCF",19,"stage2_DAM2",0.524083984543712,"Kbk","Kbk.3m
(HPBCD)"
"127","Kbk.3m.DCF",20,"homeostatic3",2.90101148923043,"Kbk","Kbk.3m
(HPBCD)"
"128","Kbk.3m.DCF",20,"stage1_DAM1",1.46008294718237,"Kbk","Kbk.3m
(HPBCD)"
"129","Kbk.3m.DCF",20,"stage2_DAM2",0.525480192594281,"Kbk","Kbk.3m
(HPBCD)"
"130","Kbk.3m.DCF",21,"homeostatic3",2.91519710085349,"Kbk","Kbk.3m
(HPBCD)"
"131","Kbk.3m.DCF",21,"stage1_DAM1",1.49963119437894,"Kbk","Kbk.3m
(HPBCD)"
"132","Kbk.3m.DCF",21,"stage2_DAM2",0.525774195111547,"Kbk","Kbk.3m
(HPBCD)"
"133","Kbk.3m.DCF",22,"homeostatic3",2.90355080874376,"Kbk","Kbk.3m
(HPBCD)"
"134","Kbk.3m.DCF",22,"stage1_DAM1",1.53749864544192,"Kbk","Kbk.3m
(HPBCD)"
"135","Kbk.3m.DCF",22,"stage2_DAM2",0.535427501122434,"Kbk","Kbk.3m
(HPBCD)"
"136","Kbk.3m.DCF",23,"homeostatic3",2.89246348579337,"Kbk","Kbk.3m
(HPBCD)"
"137","Kbk.3m.DCF",23,"stage1_DAM1",1.55107103632835,"Kbk","Kbk.3m
(HPBCD)"
"138","Kbk.3m.DCF",23,"stage2_DAM2",0.50075641242693,"Kbk","Kbk.3m
(HPBCD)"
